DoctorID,DoctorFirst,DoctorLast,Phone,Cell,ClinicID,MINC
1,Jonathan,Archibald,5145241642,5143171644,4,098SDFDS9065
2,Alma,Vang,5145414414,5145415785,12,A36W5E5F3AS5
3,Burke,Munishi,5145426455,5145774165,5,A2D4SVTAS54V
4,Robert,Mulligan,5144510841,5145418833,11,3U65IO1YU365
5,Wendell,Douglas,5145455471,5145451789,6,TN751TF65NY7
6,Allen,Esch,5145426455,5145771201,5,3615EA311SBT
7,Chris,Russell,5144558701,5144556521,8,MUY2SDRT43SR
8,Kim,Mukio,5146654571,5143179842,12,ARS65HJM53UI
9,Carol,Braund,5144553877,5144553007,7,TFNU68136SE5
10,Brett,Peloquin,5144568132,5145774512,2,615DBFTT514K
11,Dai,Yan,5145445788,5145445866,9,56SRBT6D7564
12,Evelyn,Yaeger,5144531544,5145772390,10,XK168K11K6XK
13,David,Reback,5144553877,5143174414,7,2ZDRT3245652
14,Terry,Juyal,5145241642,5143176589,4,ZJ6352DZVF41
15,Joseph,Finley,5143554674,5143550536,11,3154HMJKSS87
16,Robert,Gurtz,5144558701,5144558144,8,5Z15N5ZXVDFV
17,Kathleen,Bass,5145414414,5143176624,12,8HIXDTV51635
18,Mark,Saleh,5146654571,5145773038,1,564XBF35HJK8
19,Andrea,Galica,5145455471,5145452466,6,3154DZBFTBZT
20,Ming,Lam,5144568132,5143173874,3,BZ56FG3154BX
